,ACER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
66,GATEWAY,,,,,,,,,,,,,,,,,,,,,,,,
67,Manufacturer,Model,Weight [kg],Weight [lb],"Display size """,Display resolution,Display DPI[Note 1],CPU,Speed [GHz],HSDPA,Video chipset,Video connection(s),Storage type,Storage [GB],RAM [GB],Battery life [h] (low end),Battery life [h] (high end),Keyboard size in %[Note 2],Camera,Mouse layout,Linux/Unix OS choice(s),Windows OS choice(s),Manual / DataSheet,,
68,Gateway,"LT2001u, LT2021u",1.18,2.62,10.1,1024×600,117,Atom,1.6,?,?,VGA,HDD,160,1,(3-Cell Li),(3-Cell Li),?,0.3,Touchpad with 1 button below,,Windows XP Home,,,
69,Gateway,"LT3103u, LT3114u",1.38,3.04,11.6,1366×768,135,Athlon 64,1.2,,Radeon X1270,VGA,HDD,250,2,5 (6-cell Li),5 (6-cell Li),,0.3,Touchpad with 1-button below,,Vista Home Basic,,,
70,GIGABYTE,,,,,,,,,,,,,,,,,,,,,,,,
71,Gigabyte Technology,M912[49],1.3,2.86,8.9,1280x768 WXGA touchscreen,167,Atom,1.6,,?,None,HDD,"120, 160, 250","1, 2",?,?,?,?,,Ubuntu,XP,,,
72,Gigabyte,M912X[50],1.35,2.97,8.9,1280×768,167,Atom,1.6,,?,VGA,HDD,80,1,?,?,?,?,,?,XP,,,
73,Hillman,IA1001,1.26,2.77,10.2,1024x600,116,Atom N270,1.6,,GMA 950,,HDD,160,1,2 (3-cell),,,1.3 MP,Touchpad 2-buttons below,Linux,,,,
74,HP,,,,,,,,,,,,,,,,,,,,,,,,
75,HP,Mini note 2133,1.27,2.79,8.9,1280×800 WXGAglossy,169,C7-M,1–1.6,,?,VGA,"SSD, HDD","4, 120, 160",0.5–2,2 (3-cell),4 (6-cell),92%,?,,Suse,"XP, Vista",,,
76,HP,Mini note 2140,1.19,2.62,10.1,1024x576 1366x768,116 155,Atom N270,1.6,,GMA 950,?,"SSD, HDD","80, 160",1-2,4 (3-cell),8 (6-cell),92%,?,Touchpad buttons on each side,Suse,"Vista, XP",,,
77,HP,HP Mini 5101,1.20,2.64,10.1,1024x600 1366x768,117 155,Atom N280,1.667,,GMA 950,VGA,"SSD, HDD","80, 128, 160, 250, 320",1-2,4.5 (4-cell),9 (6-cell),92%,2MP,Touchpad buttons below,Suse,XP Home,,,
78,"Impulse, a division of Carapelli Computers Limited",NPX-9000[51][52],0.72,1.58,7,480x324,82,X-Scale ARM,0.4,,?,?,NAND,1,0.125,2100 mAh LiP,?,80%,?,,"Linux 2.4 based Highne 2008,[51]Xenium",None (non-x86 based),,,
79,INTEL,,,,,,,,,,,,,,,,,,,,,,,,
80,"Intel, ECS",Classmate PC,1.45,3.20,7,800×480 WVGA matte,133,Celeron-M,0.9,,?,None,NAND,2,0.25,?,?,?,?,,"Mandriva, Debian",XP,,,
81,INVENTEC,,,,,,,,,,,,,,,,,,,,,,,,
82,Inventec,Kohjinsha SC3[53],0.798,1.76,7,1024x600,169,Atom,1.33,,?,?,SSD,?,?,?,?,?,?,,?,Vista Ultimate,,,
